movie_name,year,tags
bawaal,2023,action drama romance a small-town man who falls in love with the most beautiful girl in town. he wants to marry her one day because marrying her can raise his social position. nitesh tiwari varun dhawan janhvi kapoor manoj pahwa anjuman saxena 
brahmastra part one: shiva,2022,"action adventure fantasy a dj with superpowers and his ladylove embark on a mission to protect the brahmastra, a weapon of enormous energy, from dark forces closing in on them. ayan mukerji amitabh bachchan ranbir kapoor alia bhatt nagarjuna akkineni "
ghoomer,2023,"drama sport anina, a young batting prodigy, loses her right hand in an accident. an unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. ghoomer is a new style of bowling they invent. r. balki amitabh bachchan shabana azmi abhishek bachchan saiyami kher "
tiger 3,2023,action adventure thriller plot under wraps maneesh sharma salman khan katrina kaif 
tu jhoothi main makkaar,2023,"comedy romance madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits. luv ranjan ranbir kapoor shraddha kapoor krrish saini anubhav singh bassi "
drishyam 2,2022,crime drama mystery a gripping tale of an investigation and a family which is threatened by it. will vijay salgaonkar be able to protect his family this time? abhishek pathak ajay devgn akshaye khanna tabu shriya saran 
gandhi,1982,biography drama history the life of the lawyer who became the famed leader of the indian revolts against the british rule through his philosophy of nonviolent protest. richard attenborough ben kingsley john gielgud rohini hattangadi roshan seth 
pk,2014,comedy drama sci-fi an alien on earth loses the only device he can use to communicate with his spaceship. his innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people. rajkumar hirani aamir khan anushka sharma sanjay dutt boman irani 
my name is khan,2010,adventure drama romance an indian muslim man with asperger's syndrome takes a challenge to speak to the president of the united states seriously and embarks on a cross-country journey. karan johar shah rukh khan kajol sheetal menon katie amanda keane 
raees,2017,action crime drama a bootlegger sets out to improve his community as a promising leader but falls in a political trap. rahul dholakia shah rukh khan jaideep ahlawat sunny leone nawazuddin siddiqui 
rama banam,2023,"action drama two siblings, who despite their difference in ideologies come together to fight for their common goal. sriwass gopichand dimple hayathi jagapathi babu kushboo "
andhadhun,2018,"crime mystery thriller a series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of. sriram raghavan tabu ayushmann khurrana radhika apte anil dhawan "
thank you for coming,2023,"comedy when five best friends assemble together at a family gathering, they must navigate the hilarious and heartwarming consequences of their lie, discovering the true depth of their friendship and love. karan boolani bhumi pednekar dolly ahluwalia shibani bedi saloni daini "
dream girl 2,2023,"comedy drama romance karam, who is trying to live a serious life in mathura and falls in love with pari but life is hell bent on not taking him seriously. in a turn of events karam becomes pooja which creates further chaos in his already chaotic life. raaj shaandilyaa paresh rawal ananya panday ayushmann khurrana annu kapoor "
kushi,2023,"comedy drama romance raised in an atheist household, a young man falls in love with the daughter of his father's arch-rival, a devout hindu leader. shiva nirvana samantha ruth prabhu vijay deverakonda lakshmi murli sharma "
taare zameen par,2007,"drama family an eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school. aamir khan, amole gupte darsheel safary aamir khan tanay chheda sachet engineer "
drishyam,2015,"crime drama mystery desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime. nishikant kamat ajay devgn shriya saran tabu rajat kapoor "
chor nikal ke bhaga,2023,"crime drama thriller a flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.at 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation. ajay singh yami gautam sunny kaushal sharad kelkar indraneil sengupta "
gangubai kathiawadi,2022,"biography crime drama duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in. sanjay leela bhansali alia bhatt shantanu maheshwari vijay raaz indira tiwari "
gaslight,2023,"crime horror mystery misha returns to her royal family estate after 15 years to visit her estranged father, only to find him missing. pavan kirpalani sara ali khan vikrant massey chitrangda singh rahul dev "
the buckingham murders,2023,"thriller follows jass, a detective-mother who after losing her own child must investigate the murder of a 10-year-old in buckinghamshire, going down a rabbit hole of secrets, where almost everyone in the small town becomes a suspect. hansal mehta kareena kapoor keith allen haqi ali chris wilson "
fighter,2024,"action adventure thriller fighter is india's first aerial action film releasing in theaters on 25th january, 2024. siddharth anand hrithik roshan deepika padukone anil kapoor akarsh alagh "
bholaa,2023,"action adventure crime after getting out of prison with the desire to meet his daughter, bholaa's plans are interrupted by a well-orchestrated drug bust. ajay devgn ajay devgn tabu abhishek bachchan amala paul "
om shanti om,2007,"action comedy drama in the 1970s, om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. he attempts to discover the mystery of his demise and find shanti, the love of his previous life. farah khan shah rukh khan deepika padukone arjun rampal kirron kher "
kabhi khushi kabhie gham...,2001,"drama musical romance after marrying a poor woman, rich rahul is disowned by his father and moves to london to build a new life. years later, his now-grown younger brother rohan embarks on a mission to bring rahul back home and reunite the family. karan johar shah rukh khan kajol amitabh bachchan hrithik roshan "
the kerala story,2023,"drama a converted muslim woman fatima ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an isis terrorist and landed in afghanistan jail. sudipto sen, vipul amrutlal shah adah sharma yogita bihani sonia balani siddhi idnani "
vikram vedha,2022,"action crime drama a tough police officer sets out to track down and kill an equally tough gangster. gayatri, pushkar saif ali khan hrithik roshan radhika apte rohit saraf "
